Company Name,Website,Industry,Company Size,Location,Description,LinkedIn URL,Uses Zendesk,Source,Date Added,Status,Notes,Contact Found,Contact Name,Contact Email,Contact LinkedIn,Last Updated
Airbnb,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Uber,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Slack,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Shopify,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
GitHub,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Dropbox,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Box,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Mailchimp,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Squarespace,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Asana,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Trello,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Atlassian,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
HubSpot,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Zoom,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Twilio,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
SendGrid,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Datadog,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
PagerDuty,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
MongoDB,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Elastic,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Okta,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Auth0,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Cloudflare,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
DigitalOcean,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Heroku,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
New Relic,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Splunk,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Docker,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Kubernetes,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Red Hat,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
VMware,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
ServiceNow,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Salesforce,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Adobe,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Autodesk,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
DoorDash,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Postmates,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Grubhub,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
UberEats,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Instacart,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Deliveroo,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Just Eat,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
Toast,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
ChowNow,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
OpenTable,,,,,,,Yes,Known Customer Database,2025-11-08 08:22:01,New,,No,,,,2025-11-08 08:22:01
